created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-11-21T04:52:33+00:00,1,220.29,0.97,213.68,93.60,,,,
2024-11-21T04:52:50+00:00,2,219.46,0.98,215.07,92.99,,,,
2024-11-21T04:53:06+00:00,3,219.15,0.98,214.77,93.12,,,,
2024-11-21T04:54:11+00:00,4,219.80,0.90,197.82,101.10,,,,
2024-11-21T04:58:10+00:00,5,220.53,1.07,235.97,84.76,,,,
2024-11-21T04:58:26+00:00,6,220.79,1.19,262.74,76.12,,,,
2024-11-21T04:58:51+00:00,7,219.54,0.84,184.41,108.45,,,,
2024-11-21T04:59:07+00:00,8,220.04,0.87,191.43,104.47,,,,
2024-11-21T04:59:22+00:00,9,220.50,1.07,235.94,84.77,,,,
2024-11-21T04:59:40+00:00,10,220.79,1.01,223.00,89.69,,,,
2024-11-21T04:59:56+00:00,11,220.65,0.94,207.41,96.43,,,,
2024-11-21T05:00:12+00:00,12,219.19,0.89,195.08,102.52,,,,
2024-11-21T05:03:44+00:00,13,220.09,1.13,248.70,80.42,,,,
2024-11-21T05:04:00+00:00,14,220.30,0.88,193.86,103.17,,,,
2024-11-21T05:20:29+00:00,15,219.03,1.14,249.69,80.10,,,,
2024-11-21T05:20:45+00:00,16,219.12,1.12,245.41,81.49,,,,
2024-11-21T05:22:31+00:00,17,219.61,1.06,232.79,85.92,,,,
2024-11-21T06:04:59+00:00,18,220.99,1.17,258.56,77.35,,,,
2024-11-21T06:05:15+00:00,19,220.93,1.13,249.65,80.11,,,,
2024-11-21T06:05:31+00:00,20,220.94,1.10,243.03,82.29,,,,
2024-11-21T06:05:47+00:00,21,219.77,1.16,254.93,78.45,,,,
2024-11-21T06:06:15+00:00,22,219.51,0.91,199.75,100.12,,,,
2024-11-21T06:06:31+00:00,23,220.83,1.13,249.54,80.15,,,,
2024-11-21T06:06:47+00:00,24,220.48,1.04,229.30,87.22,,,,
2024-11-21T06:34:26+00:00,25,219.48,1.16,254.60,78.56,,,,
2024-11-21T06:34:42+00:00,26,219.14,0.89,195.03,102.55,,,,
2024-11-21T06:34:58+00:00,27,219.14,0.96,210.37,95.07,,,,
